ID,Merchant,Amount,Date,Category,Action,OCR_Merchant,OCR_Amount,Current_File
2,"DD DOORDASH CVS",5.00,2024-06-26,OTHER,"Search Gmail or download from account","CVS",19.84,"dd_doordash_cvs_2024-06-26_5_0.jpg"
7,"THE WHARF F&AMP;B",33.00,2024-06-30,RESTAURANT,"Search Gmail for receipt","The White Harte Public House",54.76,"the_wharf_f_amp_b_33.00_20240630.pdf"
29,"LAZ PARKING M32810",5.00,2024-07-17,PARKING,"Search SMS or Gmail for receipt","Metropolis",10.99,"tx_38_laz_parking_m32810_2024-07-17_5_0.jpg"
95,"PMC - PAID PARKING",38.03,2024-08-21,PMC_PARKING,"Search SMS for receipt","PMC",89.82,"pmc_paid_parking_2024-08-21_38_03_3.jpg"
99,"PMC - PAID PARKING",22.51,2024-08-22,PMC_PARKING,"Search SMS for receipt","PMC",89.82,"pmc_paid_parking_2024-08-22_22_51_3.jpg"
100,"PMC - PAID PARKING",29.28,2024-08-22,PMC_PARKING,"Search SMS for receipt","PMC",89.82,"pmc_paid_parking_2024-08-22_29_28_3.jpg"
144,"BONHOMME PLACE GARAGE",27.00,2024-10-25,PARKING,"Search SMS or Gmail for receipt","Bonhomme Place Garage",27.00,"NO FILE"
149,"ELEMENTOR.COM",299.88,2025-03-28,OTHER,"Search Gmail or download from account","Elementor Ltd.",47.88,"NO FILE"
416,"VHLV-LODGING",108.84,2024-12-08,HOTEL,"Search Gmail for folio","Virgin Hotels Las Vegas  Curio Collection by Hilton",0.00,"NO FILE"
616,"PARK HAPPY LLC",7.63,2024-08-24,PARKING,"Search SMS or Gmail for receipt","",,"135_park_happy_llc_7_63_20240824_135.pdf"
721,"THE GATEWAY TO NASHVILLE",20.00,2024-09-25,OTHER,"Search Gmail or download from account","",,"245_the_gateway_to_nashville_20.00_20240925_245.pdf"
731,"IM-ADA.AI",10.00,2024-10-02,AI_SERVICE,"Download from service account or Gmail","",,"255_im_ada_ai_10.00_20241002_255.pdf"
745,"PEPPERMILL FRONT DESK",101.70,2024-06-28,HOTEL,"Search Gmail for folio","Peppermill Resort Spa Casino",254.00,"peppermill_front_desk_2024-06-28_101_7.png"
1092,"MARSH HOUSE",30.69,2024-11-19,RESTAURANT,"Search Gmail for receipt","Soho House Nashville",62.04,"marsh_house_2024-11-19_30_69.jpg"
1094,"METROPOLIS PARKING",20.66,2024-11-20,PARKING,"Search SMS or Gmail for receipt","PMC",89.82,"metropolis_parking_2024-11-20_20_66.jpg"
1111,"GOLDEN NUGGET HOTEL LV",123.17,2024-11-29,HOTEL,"Search Gmail for folio","Golden Nugget Las Vegas",0.00,"368_golden_nugget_hotel_lv_2024-11-29_123_17.png"
1116,"SO PT CATALINA BAR",11.00,2024-12-02,RESTAURANT,"Search Gmail for receipt","Social Curator",25.00,"so_pt_catalina_bar_373_20241202.pdf"
1185,"SHOEBOXED.* TRIAL PROF",44.25,2024-12-25,SUBSCRIPTION,"Download from Shoeboxed account","Shoeboxed",,"NO FILE"
1202,"SPOTIFY USA",13.13,2025-01-08,SUBSCRIPTION,"Download from Spotify account","Spotify USA",0.00,"460_spotify_usa_13_13_20250108_460.jpg"
1231,"SHOEBOXED.COM",44.25,2025-01-25,SUBSCRIPTION,"Download from Shoeboxed account","shoeboxed",,"489_shoeboxedcom_2025-01-25_44_25.jpg"
1240,"PMC - PAID PARKING",8.40,2025-02-05,PMC_PARKING,"Search SMS for receipt","PMC",23.21,"pmc_paid_parking_2025-02-05_8_40.jpg"
1248,"PMC - PAID PARKING",12.35,2025-02-07,PMC_PARKING,"Search SMS for receipt","",,"pmc___paid_parking_12_35_20250207_506.pdf"
1250,"SPOTIFY USA",13.13,2025-02-08,SUBSCRIPTION,"Download from Spotify account","Spotify USA",0.00,"508_spotify_usa_13_13_20250208_508.jpg"
1252,"ARTHOUSE HOTEL NEW YORK C",44.75,2025-02-11,HOTEL,"Search Gmail for folio","ArtHouse Hotel New York City",159.00,"arthouse_hotel_new_york_c_2025-02-11_44_75_3.jpg"
1282,"SHOEBOXED.COM",44.25,2025-02-25,SUBSCRIPTION,"Download from Shoeboxed account","shoeboxed",,"NO FILE"
1353,"SH NASHVILLE - OTHER",37.63,2025-04-04,RESTAURANT,"Search Gmail for receipt","W Nashville",10.93,"tx_614_sh_nashville_other_2025-04-04_37_63.jpg"
1360,"SPOTIFY USA",13.13,2025-04-08,SUBSCRIPTION,"Download from Spotify account","Spotify USA Inc.",0.00,"622_spotify_usa_13_13_20250408_622.jpg"
1418,"LAZ PARKING M32180-FLOWB",7.38,2025-05-09,PARKING,"Search SMS or Gmail for receipt","Metropolis",21.00,"tx_683_laz_parking_m32180_flowb_2025-05-09_7_38.jpg"
1419,"VIRGIN HOTEL - COMMONS",28.45,2025-05-09,HOTEL,"Search Gmail for folio","Virgin Hotels Las Vegas  Curio Collection by Hilton",355.00,"tx_684_virgin_hotel_commons_2025-05-09_28_45.jpg"
1429,"AI.FYXER.COM",60.00,2025-05-15,AI_SERVICE,"Download from service account or Gmail","unknown",,"694_ai_fyxer_com_60_00_20250515_694.jpg"
1567,"PMC - PAID PARKING",40.39,2025-08-09,PMC_PARKING,"Search SMS for receipt","PMC Parking",40.39,"pmc_paid_parking_2025-08-09_40_39_sms_receipt.png"
1603,"IDEOGRAM AI",20.00,2025-10-03,AI_SERVICE,"Download from service account or Gmail","Ideogram AI",-20.00,"ideogram_ai_2025-10-03_20_0.png"
1621,"2THE FORUM-LEVY FB-S4",19.50,2024-06-28,RESTAURANT,"Search Gmail for receipt","",,"2024-06-28_2THE_FORUM_LEVY_FB_S4_$19_50.html"
1623,"PMC - PAID PARKING",9.29,2024-07-12,PMC_PARKING,"Search SMS for receipt","Vertis Commercial Garage",18.58,"pmc_paid_parking_2024-07-12_9_29.png"
1629,"PMC - PAID PARKING",26.22,2024-10-16,PMC_PARKING,"Search SMS for receipt","PMC",52.44,"pmc_paid_parking_2024-10-16_26_22.png"
1645,"IM-ADA.AI",25.00,2024-09-28,AI_SERVICE,"Download from service account or Gmail","",,"812_09-28-2024_IM-ADA.AI_2.pdf"
1651,"PMC - PAID PARKING",9.29,2024-07-12,PMC_PARKING,"Search SMS for receipt","Vertis Commercial Garage",18.58,"pmc_paid_parking_2024-07-12_9_29_2.png"
1657,"PMC - PAID PARKING",26.22,2024-10-16,PMC_PARKING,"Search SMS for receipt","PMC",52.44,"pmc_paid_parking_2024-10-16_26_22_2.png"
4266,"railway corporation",5.00,2025-10-28,OTHER,"Search Gmail or download from account","",,"NO FILE"
4271,"claude",109.75,2025-12-01,OTHER,"Search Gmail or download from account","",,"NO FILE"
4272,"ideogram",20.00,2025-12-01,OTHER,"Search Gmail or download from account","Ideogram AI",-20.00,"ideogram_ai_20_receipt.png"
4273,"midjourney",21.95,2025-12-01,OTHER,"Search Gmail or download from account","",,"NO FILE"
4289,"Soho House Membership",2640.00,2024-10-01,OTHER,"Search Gmail or download from account","Soho House",,"NO FILE"
4293,"PARKING - 818 18TH AVE S",8.99,2025-11-18,PARKING,"Search SMS or Gmail for receipt","Soho House Nashville",53.98,"CARTA_NORTH_GARAGE_8_00_20241228_1.jpg"
