index,date,amount,merchant,receipt_url,llava_verdict,gemini_verdict,llama_verdict,final_status
15,2024-07-01,$20.66,TST* PYRAMIDS CAFE - AIRP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_pyramids_cafe_airp_2024-07-01_20_66_3.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
18,2024-07-02,$24.56,SLIM &AMP; HUSKIES,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/slim_amp_huskies_2024-07-02_24_56.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
38,2024-07-17,$5.00,LAZ PARKING M32810,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
44,2024-07-22,$54.86,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
49,2024-07-25,$43.60,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-07-25_43_6.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
190,2024-09-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-09-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
253,2024-10-01,$61.00,TST* THE GREENHOUSE BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_the_greenhouse_bar_2024-10-01_61_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
272,2024-10-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-10-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
286,2024-10-16,$133.44,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-16_133_44.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
287,2024-10-16,$19.94,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-16_19_94.png,MISMATCH,RATE_LIMITED,,VERIFIED
300,2024-10-25,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-25_50_0.jpg,MISMATCH,,,VERIFIED
306,2024-10-30,$159.74,12 SOUTH TAPROOM &AMP; GRILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-10-30_159_74_3.jpg,MISMATCH,,,VERIFIED
308,2024-10-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-10-30_32_93.jpg,MISMATCH,,,VERIFIED
319,2024-11-06,$102.26,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fb_2024-11-06_102_26.jpg,MISMATCH,,,VERIFIED
320,2024-11-07,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/imadaai_2024-11-07_50_00.jpg,MISMATCH,,,VERIFIED
324,2024-11-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2024-11-08_10_0.jpg,MISMATCH,,,VERIFIED
326,2024-11-08,$10.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-08_10_99_3.jpg,MISMATCH,,,VERIFIED
329,2024-11-09,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-09_50_0.jpg,MISMATCH,,,VERIFIED
331,2024-11-12,$361.72,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2024-11-12_361_72.jpg,MISMATCH,,,VERIFIED
336,2024-11-14,$279.44,12 SOUTH TAPROOM &AMP; GRILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-11-14_279_44.jpg,MISMATCH,,,VERIFIED
347,2024-11-17,$47.34,BROADWAY BREWHOUSE DOWNTO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/broadway_brewhouse_downto_2024-11-17_47_34_3.jpg,MISMATCH,,,VERIFIED
350,2024-11-20,$100.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-20_100_0.jpg,MISMATCH,,,VERIFIED
353,2024-11-21,$34.96,PARKING OMNI NASHVILLE PA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/parking_omni_nashville_pa_2024-11-21_34_96_3.jpg,MISMATCH,,,VERIFIED
370,2024-11-30,$100.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-30_100_0.jpg,MISMATCH,,,VERIFIED
373,2024-12-02,$11.00,SO PT CATALINA BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/so_pt_catalina_bar_2024-12-02_11_00.jpg,MISMATCH,,,VERIFIED
379,2024-12-03,$31.67,RWLV RW STORE HILTON,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/rwlv_rw_store_hilton_2024-12-03_31_67_3.jpg,MISMATCH,,,VERIFIED
384,2024-12-04,$37.18,CURB LV TAXI NELLIS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_nellis_2024-12-04_37_18.jpg,MISMATCH,,,VERIFIED
388,2024-12-05,$38.82,BONANNOS NY PIZZERIA D,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/bonannos_ny_pizzeria_d_2024-12-05_38_82_3.jpg,MISMATCH,,,VERIFIED
389,2024-12-05,$24.25,CHICK-FIL-A LAS VEGAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chick_fil_a_las_vegas_2024-12-05_24_25.jpg,MISMATCH,,,VERIFIED
391,2024-12-05,$26.50,LAS VEGAS CONVENTION CTR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/las_vegas_convention_ctr_2024-12-05_26_5.jpg,MISMATCH,,,VERIFIED
393,2024-12-05,$21.51,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-05_21_51_3.jpg,MISMATCH,,,VERIFIED
396,2024-12-06,$18.89,CURB LV TAXI YCS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_18_89_3.jpg,MISMATCH,,,VERIFIED
397,2024-12-06,$43.49,DESERT CAB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-06_43_49_3.jpg,MISMATCH,,,VERIFIED
402,2024-12-06,$35.21,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-06_35_21_3.jpg,MISMATCH,,,VERIFIED
406,2024-12-07,$1142.43,GOLDEN NUGGET HOTEL LV,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-12-07_1142_43.png,MISMATCH,RATE_LIMITED,,VERIFIED
411,2024-12-07,$40.60,VHLV-CHOW FUN,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_chow_fun_2024-12-07_40_6.jpg,MISMATCH,,,VERIFIED
414,2024-12-08,$35.00,VHLV-KITCHEN AT COMMON,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_kitchen_at_common_2024-12-08_35_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
419,2024-12-12,$15.51,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-12-12_15_51.png,MISMATCH,RATE_LIMITED,,VERIFIED
448,2025-01-04,$78.36,DEL FRISCOS GRIL BRNTWOD,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_78_36.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
449,2025-01-04,$65.88,DEL FRISCOS GRIL BRNTWOD,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_65_88.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
469,2025-01-14,$26.22,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-01-14_26_22.jpg,MISMATCH,,,VERIFIED
471,2025-01-15,$50.28,JERSEY MIKES ONLINE UC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/jersey_mikes_online_uc_2025-01-15_50_28_3.jpg,MISMATCH,,,VERIFIED
474,2025-01-16,$78.00,TST* MELROSE BILLIARD PAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_melrose_billiard_par_2025-01-16_78_0.jpg,MISMATCH,,,VERIFIED
480,2025-01-21,$45.24,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-21_45_24.PNG,MISMATCH,,,VERIFIED
485,2025-01-22,$7.76,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-22_7_76.png,MISMATCH,,,VERIFIED
487,2025-01-24,$21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-01-24_21_95.jpg,MISMATCH,,,VERIFIED
499,2025-02-05,$65.86,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-05_65_86.jpg,MISMATCH,,,VERIFIED
500,2025-02-05,$105.38,TST*BROWNS DINER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstbrowns_diner_2025-02-05_105_38.jpg,MISMATCH,,,VERIFIED
502,2025-02-07,$19.37,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2025-02-07_19_37_3.jpg,MISMATCH,,,VERIFIED
504,2025-02-07,$38.73,FIRST WATCH - 0462,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/first_watch_0462_2025-02-07_38_73.jpg,MISMATCH,,,VERIFIED
536,2025-02-20,$261.61,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-20_261_61.jpg,MISMATCH,,,VERIFIED
547,2025-02-26,$85.64,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-02-26_85_64.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
550,2025-02-28,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-02-28_32_93.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
566,2025-03-07,$4.88,LAZ PARKING M32180-FLOWB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-03-07_4_88.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
629,2025-04-12,$318.28,KIT.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
631,2025-04-12,$11.27,TST*WHITE RHINO COFFEE -,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
702,2025-05-23,$9.00,HUGGINGFACE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-05-23_9_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
726,2025-06-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-06-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
730,2025-06-13,$5.84,TST*THE FLOWER KITCHEN,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
731,2025-06-14,$10.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
739,2025-06-24,$9.00,HUGGINGFACE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
749,2025-07-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
757,2025-07-21,$75.56,TST*LEMONGRASS SUSHI AND,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstlemongrass_sushi_and_2025-07-21_75_56_3.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
758,2025-07-24,$21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
763,2025-07-30,$5.00,EVERY STUDIO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
805,2024-10-18,$25.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-18_25_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
823,2024-11-18,$32.93,Midjourney,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_19a2665bba37_att1.jpg,MISMATCH,,,VERIFIED
831,2025-10-28,$5.00,railway corporation,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a28cbc06ea_att0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
